Adversary,Level,Skills,Talents,Abilities,Equipment,Index
Kanz,Rival,Coercion 1; Cool 3; Deception 2; Melee 3; Perception 1; Skullduggery 2; Stealth 1,Expert Tracker 1,None,Vibroknife,SoF:120
King Maalva,Nemesis,Charm 3; Coercion 4; Deception 4; Discipline 4; Outer Rim 2; Underworld 2; Leadership 3; Negotiation 4; Streetwise 3,Nobody's Fool 1; Plausible Deniability 2; Scathing Tirade,Hoverer; Silhouette 0,Armored Clothing; Ceremonial Sword; Encrypted credit voucher with 50;000 credits; Royal Crown,LoNH:80
Kintan Strider,Rival,Brawl 2; Melee 2; Survival 2; Vigilance 2,Adversary 1; Durable 5,Hard to Kill; Reckless Strike,Crude club,LoNH:64
Kip Famas,Rival,Cool 3; Gunnery 3; Leadership 2; Piloting [Space] 4,Form on Me; Skilled Jockey 2,Intuitive Navigation,Light Blaster Pistol; R2-series astromech droid; X-wing,SoR:126
Klatooinian Elder,Nemesis,Charm 1; Coercion 2; Cool 2; Deception 2; Discipline 3; Lore 4; Leadership 3; Melee 1; Negotiation 2; Vigilance 3,Adversary 2; Inspiring Rhetoric; Nobody's Fool 2; Plausible Deniability 2,Blessing of the Acients,Ceremonial shamshir,LoNH:69
Klatooinian Paddy Frog,Minion,Athletics; Stealth; Survival,None,Amphibious; Silhouette 0,None,LoNH:69
Klatooinian Thug,Minion,Melee; Perception; Ranged [Light]; Vigilance,None,None,Blaster Pistol; Heavy Clothing; Vibroknife,LoNH:69
KLC Series Exchequer Droid,Rival,Charm 2; Computers 2; Cool 2; Negotiation 2,Wheel and Deal 2,Droid,Mercantile computer with holonet connection,EtU:56
KooChoo,Minion,Brawl; Melee,None,Droid,Reinforced manipulators,MPQ:24*
Krash,Rival,Brawl 3; Cool 2; Leadership 1; Melee 2; Ranged [Light] 3; Vigilance 2,None,None,Armored Clothing; Heavy Blaster Pistol; Shock Gloves,MPQ:27*
Kreehawk Ganger,Minion,Brawl; Piloting [Planetary]; Piloting [Space]; Ranged [Light],None,None,Brass Knuckles; Heavy Clothing; Light Blaster Pistol; Mobquet Flare-V swoop bike with garish paint job,CotG:58
Krezo Wasanti,Rival,Charm 2; Deception 2; Underworld 4; Mechanics 1; Negotiation 3; Ranged [Light] 1; Streetwise 3,None,None,ASP-series labor droid; Fine Clothing; import/export shop keycard; Light Blaster Pistol,MPQ:24*
Lathe,Rival,Brawl 2; Computers 3; Discipline 2; Education 2; Underworld 3; Mechanics 2; Perception 3,Defensive Slicing 2,None,Booster Blue (1 dose); Brass Knuckles; Datapad; Heavy Clothing; Slicer Gear; Tool Kit,MPQ:26*
Liddy Ravora,Rival,Charm 2; Deception 2; Negotiation 2; Perception 3,None,None,Comlink (handheld); Encrypted Datapad; Holdout Blaster,SoF:51
Lina Naras,Nemesis,Charm 2; Coercion 4; Computers 1; Cool 2; Deception 3; Melee 2; Perception 2; Vigilance 3,Adversary 1; Scathing Tirade [Improved],None,Code cylinder; Comlink (handheld); Datapad; Detention center administrator's uniform; Imperial ID; Stun Baton,RaGP:38
Loan Shark,Nemesis,Charm 2; Coercion 2; Cool 2; Deception 4; Ranged [Light] 2; Perception 2; Vigilance 2,Adversary 1; Natural Negotiator; Spare Clip,None,Armored Clothing; Disruptor Pistol; Holdout Blaster,E-CRB:393
Lobot,Nemesis,Computers 3; Discipline 3; Education 2; Outer Rim 1; Underworld 1; Mechanics 2; Perception 2; Vigilance 2,Adversary 1; Defensive Slicing 2; Speaks Binary 2,None,Borg Construct Aj^6 implant; Durable clothing; Holdout Blaster,JoY:12*
LOM-Series Protocol Droid,Rival,Charm 2; Education 3; Outer Rim 2; Xenology 3; Negotiation 2,None,Droid; Etiquette and Protocol; Insectoid Appearance,None,DA:58
Lor Keln,Rival,Brawl 2; Piloting [Planetary] 3; Ranged [Light] 2; Streetwise 2; Vigilance 1,Adversary 1,Push the Limit,Armored Clothing; Custom Heavy Blaster Pistol; Mobquet Flare-V swoop bike with garish paint job; Vibroknucklers,CotG:58*
LRD-Series Envoy Droid,Rival,Charm 2; Education 2; Negotiation 2; Perception 2,None,Droid; Rhetorical Mimic,None,DA:57
Lt. Commander Jilan Noor,Nemesis,Athletics 2; Brawl 2; Coercion 3; Cool 2; Discipline 4; Leadership 4; Ranged [Light] 3; Vigilance 3,Adversary 1; Tactical Combat Training,Imperial Valor; Tactical Direction,Blaster Pistol; Imperial Uniform; Military Comlink,A-CRB:456
Lt. Masi Qual,Rival,Coordination 3; Warfare 1; Ranged [Light] 3; Skullduggery 3; Stealth 4; Streetwise 2,Master of Shadows,None,Blast Vest; Light Blaster Pistol; Throwing Knives,OaA:64*
Lt. Rik Torrence,Rival,Charm 2; Leadership 1; Piloting [Planetary] 3; Piloting [Space] 3; Ranged [Light] 1; Survival 2,Full Throttle; Skilled Jockey 2,None,Blast Vest; Blaster Pistol,OaA:65*
Lutrillian Merchant,Rival,Charm 1; Cool 1; Deception 1; Discipline 1; Negotiation 2; Streetwise 2,Greased Palms,Blubber,250 credits; Upper class clothing,JoY:14; CotGAD:16
M-3PO-Series Military Protocol Droid,Rival,Discipline 1; Education 3; Warfare 3; Vigilance 2,None,Droid; Military Analyst,None,DA:56
M226 Bridge Crew,Minion,Astrogation; Computers; Piloting [Space]; Ranged [Light],None,None,Blaster Pistol,A-CRB:456
M226 Crew Chief,Rival,Athletics 2; Brawl 2; Coercion 1; Discipline 2; Leadership 3; Mechanics 3; Melee 2; Vigilance 2,None,None,Breath Masks and Respirators; Comlink (handheld); Datapad; Utility Belt,A-CRB:450
M226 Navy Crewman,Minion,Athletics; Brawl; Mechanics; Melee; Vigilance,None,None,Breath Masks and Respirators; Comlink (handheld); Utility Belt,A-CRB:447; A-CRB:450
M226 Navy Troopers,Minion,Discipline; Perception; Piloting [Planetary]; Ranged [Light]; Vigilance,None,None,Blast vest and Helmet; Blaster Pistol; Comlink (handheld),A-CRB:452
Maintenance Droid,Minion,Mechanics,None,Droid,Tool Kit,RaGP:20*; A-CRB:428; E-CRB:411; CotGAD:8
Major Yalor,Rival,Computers 4; Cool 3; Gunnery 2; Piloting [Space] 3,Field Commander,None,Flight Suit; Light Blaster Pistol,OaA:24
Malau Jocaos,Nemesis,Coercion 3; Coordination 2; Deception 4; Piloting [Planetary] 2; Ranged [Light] 4; Skullduggery 3; Stealth 3,Adversary 2; Intense Presence,None,Blaster Pistol; Padded Armor; Personal Deflector Shield,OaA:84*
Malefax,Nemesis,Brawl 1; Coercion 3; Coordination 1; Deception 2; Discipline 2; Melee 2; Perception 1; Skullduggery 2; Stealth 3; Ranged [Light] 1; Vigilance 2,Force Rating 2,Dark Side Force User; Force Power Move; Force Power Sense,Ancient Sith Sword; Black Robes; Blaster Pistol; Comlink (handheld); Stimpack,F-BGA:26
Mandi,Rival,Athletics 2; Coercion 3; Deception 2; Leadership 2; Melee 3; Piloting [Planetary] 3; Ranged [Light] 2; Stealth 3,Adversary 1; Deadly Accuracy 1,None,Blaster Pistol; Laminate Armor; Secure Comlink; Vibrosword,MPQ:35*
Mark IV Patrol Droid,Minion,Discipline; Perception; Stealth,None,Droid,Holorecorder; Military Comlink,A-CRB:452
Marksman-H Combat Remote,Minion,Perception; Ranged [Light],None,Droid; Hoverer; Silhouette 0,Micro Stun Blaster,KtP:49
Martle Station Dockhands,Minion,Athletics; Brawl; Coercion; Mechanics; Melee,None,None,Breath Masks and Respirators; Heavy Tool; Space Suit; Workgang Uniform,A-CRB:441
Marus Grayson,Nemesis,Charm 2; Coercion 3; Cool 2; Deception 3; Core Worlds 4; Education 2; Negotiation 4; Ranged [Light] 1,Adversary 2; Resolve 1,Imperial Haughtiness,Encrypted Credit Chip with 5;000--10;00- credits; Formal clothing; Light Blaster Pistol; Personal Deflector Shield,JoY:64*
Marv Moray,Rival,Athletics 1; Brawl 1; Leadership 1; Perception 2; Ranged [Light] 1,None,None,Heavy Work Clothing; Holdout Blaster,GMK:22
Master Hunter,Nemesis,Brawl 2; Coercion 2; Cool 2; Ranged [Heavy] 3; Ranged [Light] 2; Melee 2; Perception 3; Piloting [Space] 2; Stealth 2; Vigilance 3,Adversary 2; Lethal Blows 2; Deadly Accuracy 1,None,Heavy Battle Armor; Heavy Blaster Rifle; Stun Grenade; Vibroknife,E-CRB:400; SaVAD:7*
Mate,Rival,Coercion 2; Gunnery 3; Melee 2; Ranged [Light] 1; Perception 2; Piloting [Space] 1; Vigilance 2,None,None,Heavy Club; Holdout Blaster,E-CRB:434*
Mature Hutt,Rival,Athletics 1; Charm 1; Coercion 2; Cool 1; Deception 2; Discipline 2; Outer Rim 1; Underworld 2; Melee 1; Ranged [Light] 1; Resilience 5,Convincing Demeanor 1; Durable 2; Nobody's Fool 1,Awkward; Ponderous,None,LoNH:46
Mechanic,Minion,Mechanics,None,None,Heavy Hydrospanner; Repair Tools,A-CRB:413
Medical Droid,Rival,Discipline 1; Medicine 3; Perception 2,None,Droid,built-in diagnostic and surgical tools,A-CRB:428; E-CRB:411; F-CRB:410; CotGAD:9
Medtech Mini-Med,Minion,None,None,Droid; Surgeon's Aid,None,FH:49
Mehmet Alovar,Rival,Charm 3; Deception 3; Discipline 3; Core Worlds 2; Education 3; Lore 3; Outer Rim 2; Xenology 2; Leadership 3; Negotiation 4,Adversary 1; Confidence 1; Inspiring Rhetoric; Kill with Kindness 2; Natural Charmer,Amphibious,Armored Clothing; Holdout Blaster,SoR:133
Menagerie Guards,Minion,Melee; Ranged [Heavy]; Vigilance,None,None,Heavy Clothing; Light Spear; Soporific-Tipped Bow and Arrows,NoP:142
Merderous Fugitive,Nemesis,Brawl 2; Discipline 2; Melee 4; Perception 2; Stealth 2; Vigilance 3,Adversary 2; Force Rating 3; Soft Spot,Dark Side Force User; Force Power Protect/Unleash,Serrated Vibroknife,F-CRB:413
MI-Series Security Droid,Nemesis,Brawl 3; Coercion 4; Perception 3; Ranged [Heavy] 4; Vigilance 4,Adversary 1,Droid; Fire Sweep,Oversized Arms; Twin light repeating blasters; Twin stun blasters,EV:46
Micael Torval,Nemesis,Charm 3; Cool 3; Deception 4; Education 2; Negotiation 3; Perception 3; Ranged [Light] 1; Streetwise 2,Force Rating 1; Sense Emotions,None,Fashionable clothing; Holdout Blaster,MPQ:65*
Mil Mikkir,Nemesis,Charm 3; Coercion 2; Cool 2; Deception 3; Education 2; Negotiation 4; Ranged [Light] 1; Streetwise 1,Plausible Deniability 2; Smooth Talker 2,None,Datapad; Holdout Blaster; Personal Deflector Shield,JoY:61*
Military Informant,Rival,Computers 1; Deception 2; Stealth 1; Vigilance 1,Indistinguishable 1,None,Disassembly-capable Secure Military Comlink; Disguise Kit; Holdout Blaster,A-CRB:420
Military Starfighter Pilot,Minion,Gunnery; Piloting [Space],None,None,Light Blaster Pistol,E-CRB:405
Mining Guild Enforcer,Rival,Brawl 2; Coercion 2; Discipline 1; Streetwise 2; Vigilance 1,Loom,None,Comlink (handheld); Guild Membership; Leather Vest; Spiked knuckle-gloves,NoP:63
Mon Calamari Commander,Nemesis,Coercion 2; Cool 3; Discipline 2; Outer Rim 3; Warfare 3; Leadership 3,Adversary 1; Commanding Presence 1; Fire Control 1,Amphibious,Comlink (handheld); Datapad,SoR:35
Mon Calamari Mechanic,Rival,Astrogation 1; Computers 1; Mechanics 2; Vigilance 1,None,Amphibious,Emergency Repair Patch; Holdout Blaster; Tool Kit,E-CRB:398
Mon Calamari Shipwright,Rival,Computers 1; Education 2; Mechanics 2,Known Schematic,Amphibious,Comlink (handheld); Datapad with schematics; Repair Tools,SoR:35
Montra Varn,Nemesis,Computers 2; Cool 3; Coordination 2; Deception 4; Discipline 3; Warfare 1; Melee 2; Perception 3; Ranged [Light] 2; Skullduggery 3; Stealth 3; Streetwise 2; Vigilance 2,Adversary 2; Clever Solution; Convincing Demeanor 2; Natural Charmer,None,Armored Clothing; Comlink (handheld); Encrypted datapad with Imperial holonet uplink; Holdout Blaster,SoR:134
Moraband Sith Phantasm,Rival,Coercion 1; Discipline 3; Lightsaber 2; Stealth 4,None,Creature of Illusion; Darkest Dreams,Spectral blade; shadowsaber; or ghostly claws,CotG:85
Morgukai Adept,Nemesis,Athletics 2; Brawl 2; Cool 1; Deception 2; Discipline 1; Melee 3; Resilience 1; Survival 2; Vigilance 2,Adversary 1; Lethal Blows 2,Kajain'sa'Nikto,Morgukai Cortosis Staff,LoNH:65
Mustafarian Miner,Rival,Athletics 2; Brawl 3; Melee 1; Resilience 2; Vigilance 1,Adversary 1,Heat Resistance,Vibro-ax,F-CRB:418
Narralla,Rival,Coordination 1; Perception 2; Stealth 2,None,Magnetic Sense,Holdout Blaster; Servant Apron; Utility Kit,OaA:86
Naval Engineer,Minion,Computers; Mechanics,None,None,Light Blaster Pistol,A-CRB:420
Neimoidian Citizen,Minion,Melee,None,Strength in Numbers,Light Blaster Pistol; Truncheon,CotG:52
Nerf Herder,Minion,Survival,None,None,Flock of nerfs; Shepherd's Crook,A-CRB:433
Nikto Enforcer,Rival,Athletics 1; Brawl 1; Melee 1; Perception 1; Resilience 1; Survival 1,None,None,Armored Clothing; Tuskbeast Pike,LoNH:65
Noira,Nemesis,Charm 4; Coercion 3; Cool 5; Deception 4; Underworld 3; Leadership 5; Melee 3; Negotiation 4; Ranged [Light] 2; Streetwise 4,Adversary 2; Command 2; Steely Nerves,Awe-inspiring,Armored Uniform; Breath Masks and Respirators; Light Blaster Pistol; Ornate Armor; Pirate Queen's mask; Vibrorapier,MPQ:91*
Norta,Rival,Cool 1; Underworld 2; Mechanics 3; Negotiation 3; Piloting [Planetary] 2; Ranged [Light] 2; Vigilance 2,Contraption,None,Blaster Pistol; Comlink (handheld); Padded Armor; Tool Kit; Utility Belt,BtR:83
Nosh Droma,Rival,Charm 3; Computers 3; Deception 4; Core Worlds 3; Outer Rim 3; Negotiation 3; Perception 3; Ranged [Light] 2; Skullduggery 4; Streetwise 3,Adversary 1; Bought Info; Convincing Demeanor 3; Greased Palms; Know Somebody 1; Natural Charmer; Nobody's Fool 2; Wheel and Deal 3,None,2000 credits; Comlink (handheld); Datapad; Light Blaster Pistol,SoR:142
NR-5 Maintenance Droid,Rival,Computers 2; Mechanics 2,None,Droid,Arc welder; Built-in Repair Tools; Fine Manipulator Arm; Heavy Grasper Arm,A-CRB:451
Oake,Rival,Athletics 2; Discipline 2; Medicine 2; Melee 2; Ranged [Heavy] 2; Survival 2; Vigilance 3,Point Blank 1,Hard of Hearing; Teamwork,Blaster Pistol; Light Repeating Blaster; Utility Belt; Vibroknife; Worn Clone Trooper Armor,MPQ:29*
Olom Roskom,Rival,Charm 2; Cool 1; Discipline 3; Mechanics 3; Melee 1; Negotiation 3; Perception 1,None,None,Comlink (handheld); Datapad; Imperial ID; RMS executive coverall; RMS ID; Tool Kit,RaGP:42
Onrein Hasar,Nemesis,Coercion 4; Cool 3; Deception 4; Discipline 4; Underworld 4; Leadership 3; Melee 2; Negotiation 3; Ranged [Light] 2; Streetwise 3,Adversary 1; Intimidating 2,Fearsome Aspect,Armored Robes; Comlink (handheld); Modded Blaster Pistol; Refined Cortosis Staff,CotG:67
OOM Security Droid,Minion,Ranged [Heavy]; Vigilance,None,Droid,Blaster Rifle,SoF:125
Orange-Rated Constable,Minion,Discipline; Perception; Piloting [Planetary]; Ranged [Light]; Vigilance,Skilled Jockey 1,Constabulary Honor 2,Armored Clothing; Blaster Pistol,SoR:43
Ord Radama Security Officer,Minion,Coercion; Discipline; Melee; Ranged [Light],None,None,Blaster Pistol; Security Uniform; Vibroknife,OaA:83
Oridelve Miner,Minion,Athletics; Perception,None,None,Heavy Work Clothing; Weapons improvised from mining tools,GMK:22
Orl Miscord,Nemesis,Astrogation 3; Deception 3; Discipline 2; Xenology 4; Melee 3; Perception 3; Vigilance 2,Adversary 2; Force Rating 4; Ritual Caster,Dark Side Force User; Force Power Forsee; Force Power Influence; Force Power Protect/Unleash,Heavy and Smelly Robes; Hidden Razor-dagger; Wizard's Staff,NoP:142
Oso Maduk,Rival,Charm 2; Deception 2; Perception 2; Skullduggery 2; Stealth 2,None,None,Scanner Goggles,SoF:141
Ossus Stone Guardian,Rival,Athletics 2; Brawl 3; Melee 2; Perception 2; Vigilance 2,Durable 2,Droid,"Cortosis Chassis; Integrated SecureTech ""Nightsight"" passive sensor suite; Stone Fists",NoP:128
Overseer Brynn,Rival,Cool 1; Discipline 1; Perception 1; Ranged [Light] 1,None,None,Blaster Pistol; Comlink (handheld),E-BGA:18
P2F Hostile Environment Remote,Minion,Athletics; Cool; Perception; Resilience,None,Droid,Built-in Holoprojector; Built-in Long Range Comlink; Scanner Suite,DoH:55
Pashna Genko,Rival,Cool 2; Gunnery 3; Leadership 3; Piloting [Space] 3,Form on Me,Amphibious,Flight Suit; Light Blaster Pistol; R5-series astromech droid; Y-wing,SoR:126
Passk,Rival,Charm 2; Deception 3; Discipline 3; Lore 4; Underworld 3; Negotiation 3; Ranged [Light] 2,None,None,Business attire; Claws; curio shop; Datapad; Holdout Blaster,A-CRB:439*
Pathran Helshar,Rival,Coordination 2; Leadership 2; Melee 2; Perception 2; Ranged [Light] 2; Ranged [Heavy] 2; Survival 2,Adversary 1,For Quolas!; Glider,bearsloth venom (2 doses); Diiro; Slugthrower Rifle; Thick Furs and Leathers,CotG:31
Petty Officer Tera Wen,Rival,Coercion 1; Discipline 3; Leadership 2; Perception 2; Piloting [Planetary] 2; Ranged [Light] 2; Vigilance 3,Coordinated Assault 1,None,Blast vest and Helmet; Blaster Pistol; Comlink (handheld),A-CRB:446*
Phantasmal Beast of Moraband,Rival,Athletics 3; Brawl 2; Cool 1; Stealth 2; Vigilance 2,Crippling Blow,Living Shadow,None,CotG:84
Philanthropic Senator,Rival,Charm 3; Cool 2; Deception 1; Core Worlds 2; Education 2; Leadership 3; Negotiation 4; Vigilance 1,None,None,Holdout Blaster,E-CRB:408
Physician,Rival,Computers 1; Education 3; Medicine 3,Bacta Specialist 2; Surgeon 2,None,Bacta (liter); Medpac; Synthskin,A-CRB:430; CotGAD:4
Pirate Captain,Nemesis,Coercion 3; Cool 3; Coordination 2; Deception 3; Gunnery 2; Leadership 2; Ranged [Heavy] 3; Melee 4; Resilience 2; Skullduggery 3,Adversary 2; Feral Strength 2; Knockdown,Pirate Leader,Armored Clothing; Heavy Blaster Rifle; Vibro-ax,A-CRB:426; E-CRB:394; SaVAD:11
Pirate Crew,Minion,Cool; Ranged [Heavy]; Ranged [Light],None,None,Blaster Carbine; Heavy Blaster Pistol; Padded Armor; Vibroknife,A-CRB:425; E-CRB:393; SaVAD:10
Planetary Defense Force Trooper,Minion,Brawl; Discipline; Ranged [Heavy]; Ranged [Light],None,None,Blast Vest; Blaster Carbine,E-CRB:405; F-CRB:402*
Planetary Governor,Nemesis,Charm 3; Coercion 4; Cool 2; Deception 3; Perception 4; Education 4; Leadership 3; Ranged [Light] 3; Piloting [Planetary] 2; Resilience 2; Streetwise 2; Skullduggery 3; Vigilance 2,Inspiring Rhetoric [Improved]; Kill with Kindness 2; Nobody's Fool 2,Leader,Light Blaster Pistol,E-CRB:405; CotGAD:19
Podracer Pilot,Rival,Cool 3; Mechanics 3; Piloting [Planetary] 4; Streetwise 2,Full Throttle; Skilled Jockey 1,None,Holdout Blaster; Podracer; Tool Kit,F-CRB:402
Pol Orrich,Rival,Brawl 3; Coercion 3; Ranged [Heavy] 2; Resilience 2; Streetwise 2; Vigilance 2,None,None,Blaster Carbine; Comlink (handheld); Padded Armor; Sabacc Deck; Stimpack; Utility Belt,SoF:49
Polis Massa Base Squadron Pilot,Minion,Cool; Gunnery; Piloting [Space],None,None,Flight Suit; Light Blaster Pistol; X-wing,SoR:126
Politician / Senator,Nemesis,Charm 3; Cool 2; Deception 1; Core Worlds 2; Education 2; Negotiation 2,Commanding Presence 2; Works Like a Charm,None,Bodyguards; Comlink (handheld); Datapad,A-CRB:430; CotGAD:20*
Porel Vakra,Nemesis,Brawl 3; Coercion 2; Cool 3; Underworld 3; Negotiation 2; Perception 3; Ranged [Light] 3; Streetwise 3,Adversary 1; Dodge 1; Point Blank 2,None,Armored Suit; Blaster Pistol; Comlink (handheld); Datapad; Holdout Blaster,MPQ:93*
Pos Podura,Nemesis,Charm 1; Computers 1; Cool 2; Deception 2; Education 3; Negotiation 1; Skullduggery 1; Streetwise 1,Idealist 1; Resolve 2,Twi'lek,Holdout Blaster; Stolen credentials and encrypted expense voucher with 5;000 credits,JoY:62*
Private Security Guard,Minion,Discipline; Melee; Perception; Ranged [Heavy]; Vigilance,None,None,Armored Guard Uniform; Comlink (handheld); Riot Gun; Vibroknife,JoY:78
Probe Droid,Rival,Perception 4; Ranged [Light] 2,None,Droid; Hoverer; Self-destruct Mechanism,Heavy Blaster Pistol; Holo-Messenger; Life Form Scanner; Long-range terrain scanner,F-BGR:46
Protocol Droid,Rival,Charm 2; Education 3; Xenology 3; Negotiation 2; Perception 1,None,Droid; Etiquette and Protocol,None,RaGP:33*; A-CRB:429; E-CRB:412; F-CRB:410; CotGAD:10
Provincial Law Enforcement Officer,Minion,Coercion; Perception; Ranged [Light]; Vigilance,None,None,Blaster Pistol; Comlink (handheld); Police Armor; Truncheon,F-CRB:403
Q-4 Borer Droid,Minion,Perception; Ranged [Light],None,Droid,Heavy-duty Drilling Laser; Rock-scanning Sensors,SoR:113
Q7-Series Astromech Droid,Rival,Astrogation 3; Computers 3; Cool 2; Mechanics 2; Piloting [Space] 2,None,Droid,Built-in Repair Tools,SoT:47
Quarren Agitator,Rival,Charm 2; Coercion 2; Deception 2,Scathing Tirade,Amphibious,Holdout Blaster; Inflammatory pamphlets and propaganda,A-CRB:413
Quartermaster,Rival,Discipline 2; Negotiation 3; Streetwise 2,Know Somebody 2; Nobody's Fool 1,None,Blast Vest; Light Blaster Pistol,A-CRB:414
Quolas Citizen,Minion,Coordination; Melee; Ranged [Heavy]; Survival,None,Glider,bearsloth venom (1 dose); Diiro; Slugthrower Rifle; Thick Furs and Leathers,CotG:32
Quolas Elder,Rival,Coordination 2; Leadership 2; Melee 2; Negotiation 3,Inspiring Rhetoric,Glider,bearsloth venom (5 doses); Diiro; Ornate Thick Furs and Leathers,CotG:32
Quolas Guard,Minion,Coordination; Melee; Ranged [Light]; Survival,None,Glider,bearsloth venom (2 doses); Binders; Diiro; Padded Armor; Slugthrower Pistol,CotG:26
Quolas Guard Captain,Rival,Coordination 2; Discipline 2; Melee 3; Ranged [Light] 3; Vigilance 1,Adversary 1,Glider; Restraint,bearsloth antivenom (2 doses); bearsloth venom (10 doses); Binders; Comlink (handheld); Diiro; Padded Armor; Slugthrower Pistol,CotG:26
R2-B7,Rival,Astrogation 3; Computers 2; Cool 2; Mechanics 2,None,Droid,Arc welder; Tool Kit,GMK:8*
R4-W9,Rival,Astrogation 3; Computers 3; Cool 1; Mechanics 2; Piloting [Space] 2,None,Droid,Arc welder,E-CRB:430*
R7-Series Astromech Droid,Rival,Astrogation 3; Computers 3; Cool 2; Mechanics 3; Piloting [Space] 2,Galaxy Mapper 1; Hold Together,Droid,Arc welder; Built-in Repair Tools,SoT:46
Raider,Minion,Brawl; Melee; Ranged [Light]; Survival,None,None,Boiled Leather Jerkin; Hand Crossbow; Stabbing Sword,NoP:37
Raider Warlord,Nemesis,Melee 2; Perception 3; Survival 3; Ranged [Light] 1; Resilience 2,Adversary 1; Force Rating 2; Parry 3,Dark Side Force User; Force Power Heal/Harm,None,NoP:36
Ranat Scout,Minion,Brawl; Melee; Skullduggery; Stealth; Survival,None,Cornered Fury,Makeshift Knife; Ranat Bite,A-CRB:451
Ranat Stalker,Minion,Brawl; Melee; Stealth; Survival,None,Cornered Fury,Makeshift Spear; Ranat Bite,A-CRB:449
Raquor'Daan Beastmaster,Rival,Melee 2; Perception 1; Ranged [Heavy] 2; Resilience 3; Survival 3,None,Pheromone Communication,Beastmaster's Vibro-Glaive; Blaster Carbine,LoNH:77
Rasz Kal,Rival,Deception 3; Underworld 2; Perception 2; Piloting [Space] 2; Ranged [Light] 3; Skullduggery 2; Streetwise 2,Adversary 2,None,Blaster Pistol; Brass Knuckles; Broken Hyperdrive motivator; Padded Armor,SoF:125
Rebel Alliance Liaison,Rival,Coordination 1; Cool 1; Discipline 2; Melee 1; Negotiation 3; Ranged [Heavy] 2; Vigilance 2,Adversary 1,None,Blaster Rifle; Molecular Stiletto,E-CRB:408; IaRAD:15
Rebel Cell Leader,Nemesis,Charm 3; Cool 3; Coercion 2; Deception 3; Discipline 2; Warfare 1; Leadership 3; Melee 2; Ranged [Light] 1,Adversary 2; Inspiring Rhetoric,Alliance Leader,Armored Clothing; Disruptor Pistol; Fire Bomb; Vibroknife,A-CRB:414; IaRAD:20
Rebel Specforce Infiltrator,Rival,Melee 2; Perception 1; Ranged [Light] 2; Skullduggery 2; Stealth 3,Adversary 1; Stalker 2,Shadowed; Swipe 1,Encrypted Comlink; Light Blaster Pistol; Reinforced Blast Vest; Vibroknife,A-CRB:414; IaRAD:19
Regent Credi Solfinn,Rival,Charm 2; Cool 4; Deception 3; Discipline 2; Education 3; Negotiation 3; Perception 2,Adversary 2; Kill with Kindness 1,None,Comlink (handheld); Datapad,SoR:47
Reom (Twi'lek),Nemesis,Astrogation 1; Charm 2; Coercion 4; Cool 2; Deception 2; Discipline 3; Underworld 2; Mechanics 5; Medicine 1; Melee 2; Negotiation 3; Piloting [Space] 2; Ranged [Light] 3; Vigilance 2,Adversary 2; Convincing Demeanor 2; Gearhead 2; Nobody's Fool 1,Technical Master,"Datapad; Heavy Blaster Pistol; Heavy Clothing; Pet Bogwing (""Mordekai""); Tool Kit; Utility Belt; Vibroknife",BtR:16
Revah,Nemesis,Charm 3; Coercion 3; Cool 2; Deception 3; Discipline 3; Underworld 3; Leadership 3; Ranged [Light] 2; Vigilance 3,Adversary 1; Soft Spot,Pirate Leader,Blaster Pistol; Heavy Clothing; Sorority Mask; Vibroknife,MPQ:36*
"RMD-20 ""Eye in the Sky""",Minion,Perception; Vigilance,None,Droid; Hoverer; Silhouette 0,Recording Holocam,KtP:50
Roche J9 Worker Drone,Rival,Charm 1; Education 4; Xenology 3; Negotiation 2,None,Droid,Olfactory and microwave sensors,SoR:113
Roche Siak-series Protocol Droid,Rival,Charm 3; Education 2; Xenology 3; Negotiation 3,None,Droid,None,SoR:113
Roowarra,Rival,Athletics 2; Brawl 2; Melee 1; Piloting [Space] 1; Ranged [Heavy] 1; Survival 2,None,Wookie Rage,Bowcaster,DitW:7
Roowarra's Crew,Minion,Brawl; Mechanics; Perception; Ranged [Light]; Vigilance,None,None,Heavy Blaster Pistol,DitW:7
Ryale Wei,Nemesis,Charm 3; Coercion 4; Cool 3; Deception 4; Underworld 4; Leadership 4; Melee 3; Streetwise 4,Adversary 2; Nobody's Fool 2,Leader,Vibrorapier,MPQ:71*
Saboteur Astromech,Rival,Astrogation 3; Computers 3; Cool 2; Gunnery 2; Mechanics 2; Piloting [Space] 3,None,Droid,Arc welder; Built-in Repair Tools,DitW:22
Saboteur Load Lifter,Minion,Athletics; Brawl; Melee,None,Droid; Silhouette 2,Large Improvised Weapon; Truncheon lifters,DitW:22
Saboteur Medical Droid,Rival,Discipline 1; Medicine 3; Perception 2,None,Droid,Anesthetic Injector; built-in diagnostic and surgical tools; Vibroscalpel,DitW:22
Sakiyan Bounty Hunter,Rival,Athletics 1; Coordination 1; Perception 1; Ranged [Light] 2; Stealth 1; Survival 2; Vigilance 1,Expert Tracker 2,None,Binders; Sakiyan Shadowsuit; SakTek D-29 Repulsor Rifle,LoNH:73
Sala Vindako,Rival,Discipline 2; Melee 3; Negotiation 2; Xenology 3; Ranged [Light] 3; Survival 3; Vigilance 2,Adversary 1; Hunter 2,None,Beast Goad; Heavy Leather Clothing; Soporific-Tipped Bow and Arrows,NoP:141*
